"Id","Host","Loai","BoPhan","Nguon","ViTri","Office","GhiChu","LaMay"
"3","ZP-IT003","Laptop","BPVN - VN-IT","co san","Hải Dương","True","","True"
"163","ZP-IEV003","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"164","VN-EG024","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"166","VN-HR060","Laptop","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"168","VN-HR065","Laptop","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"169","VN-PD008","Laptop","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"178","VN-WK063","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"181","VN-WK065","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"182","VN-WK045","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"186","VN-WK070","Máy tính","BPVN - VN-WK S","chu quan","","False","","True"
"188","VN-WK068","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"191","VN-WK046","Máy tính","BPVN - VN-WK S","chu quan","","False","","True"
"192","VN-WK044","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"194","VN-WK062","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"196","VN-WK059","Máy tính","BPVN - VN-WK","chu quan","Nghệ An","True","","True"
"201","VN-WK071","Máy tính","BPVN - VN-WK S","chu quan","","False","","True"
"203","VN-WK048","Máy tính","BPVN - VN-WK S","chu quan","","False","","True"
"205","VN-WH047","Máy tính","BPVN - VN-WH","trong","","False","","True"
"209","VN-EG019","Laptop","BPVN - VN-EG","trong","","False","","True"
"212","VN-HR071","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"213","VN-EG029","Laptop","BPVN - VN-EG","trong","","False","","True"
"333","VN-EG023","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"335","VN-HR079","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"336","VN-HR080","Máy tính","BPVN - VN-HR","chu quan","Nghệ An","True","Nghệ An","True"
"339","VN-SD156","Máy tính","BPVN - VN-SD","trong","","False","","True"
"340","VN-WK057","Máy tính","BPVN - VN-WK HY","chu quan","Hưng Yên","False","","True"
"342","VN-IT086","Laptop","BPVN - VN-IT","trong","","False","","True"
"343","VN-DCV002","Máy tính","BPVN - VN-IT","trong","","False","","True"
"344","VN-PUR030","Laptop","BPVN - VN-PUR","trong","","False","","True"
"345","VN-ITV015","Laptop","BPVN - VN-IT","trong","","False","","True"
"346","VN-WH011","Máy tính","BPVN - VN-WH","trong","","False","","True"
"350","VN-DF020","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"351","VN-SD043","Máy tính","BPVN - VN-SD","co san","Hải Dương","True","","True"
"352","VN-QC17","Máy tính","BPVN - VN-QC ĐAI","chu quan","Hải Dương","False","","True"
"353","VN-RD001","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"354","VN-RD002","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"355","VN-RD004","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"356","VN-RD008","Máy tính","BPVN - VN-RD","chu quan","Hải Dương","True","","True"
"357","VN-IT023","Laptop","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"358","VN-IT004","Máy tính","BPVN - VN-IT","trong","","False","","True"
"359","VN-IT168","Laptop","BPVN - VN-IT","trong","","False","","True"
"360","VN-IT018","Laptop","BPVN - VN-IT","trong","","False","","True"
"362","VN-HR001","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"363","VN-HR043","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"364","VN-HR051","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","False","","True"
"365","VN-HR052","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"366","VN-HR069","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"367","VN-HR059","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","False","","True"
"368","VN-HR018","Máy tính","BPVN - VN-HR","chu quan","Hải Dương","True","","True"
"369","VN-LD040","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"370","VN-LD047","Máy tính","BPVN - VN-LTB DAI","chu quan","Hải Dương","True","","True"
"371","VN-LD050","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"372","VN-LD051","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"373","VN-LD049","Máy tính","BPVN - VN-TL","trong","","False","","True"
"374","VN-LD038","Máy tính","BPVN - VN-TL","co san","Hải Dương","True","","True"
"375","VN-LD055","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"376","VN-LD022","Máy tính","BPVN - VN-LD","trong","","False","","True"
"377","VN-LD017","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"378","VN-LD033","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"379","VN-LD023","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"380","VN-LD057","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"381","VN-LD001","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"382","VN-LD013","Máy tính","BPVN - VN-TL","trong","","False","","True"
"383","VN-LD014","Máy tính","BPVN - VN-TL","trong","","False","","True"
"384","VN-LD004","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"385","VN-LD012","Máy tính","BPVN - VN-TL","trong","","False","","True"
"386","VN-LD034","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"387","VN-LD019","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"388","VN-LD020","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"389","VN-LD015","Máy tính","BPVN - VN-LTB","chu quan","Hải Dương","True","","True"
"390","VN-LD025","Máy tính","BPVN - VN-TL","co san","Hải Dương","True","","True"
